id,daily_times
4197,"{'lundi': ['14'], 'mardi': ['15', '22'], 'mercredi': ['23'], 'jeudi': ['17'], 'vendredi': ['18'], 'samedi': [], 'dimanche': []}"
8290,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': ['10'], 'vendredi': [], 'samedi': [], 'dimanche': []}"
3918,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': ['24'], 'dimanche': []}"
6767,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': ['25', '22', '19'], 'samedi': [], 'dimanche': []}"
6778,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': [], 'dimanche': ['30']}"
6779,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': [], 'dimanche': ['30']}"
6780,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': [], 'dimanche': ['30']}"
6766,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': ['25', '22', '19'], 'samedi': [], 'dimanche': []}"
3762,"{'lundi': ['14'], 'mardi': ['4'], 'mercredi': [], 'jeudi': [], 'vendredi': ['11'], 'samedi': ['12'], 'dimanche': ['13']}"
5009,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': [], 'dimanche': ['27']}"
10237,"{'lundi': [], 'mardi': ['10h-18h'], 'mercredi': ['10h-18h'], 'jeudi': ['10h-18h'], 'vendredi': ['10h-18h'], 'samedi': ['6', '10h-18h'], 'dimanche': []}"
10552,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': [], 'dimanche': ['30']}"
3759,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': ['29', '19', '24'], 'dimanche': []}"
5334,"{'lundi': [], 'mardi': ['08'], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': [], 'dimanche': []}"
616,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': ['9h30', '1'], 'dimanche': []}"
9206,"{'lundi': [], 'mardi': [], 'mercredi': ['11h-19h'], 'jeudi': ['11h-19h'], 'vendredi': ['11h-19h'], 'samedi': ['11h-19h'], 'dimanche': ['11h-19h']}"
11942,"{'lundi': [], 'mardi': ['10h-18h'], 'mercredi': ['10h-18h'], 'jeudi': ['10h-18h'], 'vendredi': ['10h-18h'], 'samedi': ['6', '10h-18h'], 'dimanche': []}"
617,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': ['9h30', '1'], 'dimanche': []}"
5417,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': ['5'], 'dimanche': []}"
10272,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': ['30'], 'samedi': [], 'dimanche': []}"
1264,"{'lundi': [], 'mardi': ['13'], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': [], 'dimanche': []}"
9384,"{'lundi': [], 'mardi': ['10h-18h'], 'mercredi': ['10h-18h'], 'jeudi': ['10h-18h'], 'vendredi': ['10h-18h'], 'samedi': ['10h-18h'], 'dimanche': []}"
596,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': ['17'], 'dimanche': ['18']}"
9023,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': ['19'], 'dimanche': []}"
622,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': ['9h30', '1'], 'dimanche': []}"
5118,"{'lundi': [], 'mardi': ['10h-18h'], 'mercredi': ['10h-18h'], 'jeudi': ['10h-18h'], 'vendredi': ['10h-18h'], 'samedi': ['6', '10h-18h'], 'dimanche': []}"
3740,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': ['19'], 'dimanche': []}"
6034,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': ['5'], 'dimanche': []}"
5602,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': ['10'], 'dimanche': []}"
6044,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': ['5'], 'dimanche': []}"
11040,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': ['9h30', '1'], 'dimanche': []}"
9318,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': [], 'dimanche': ['25']}"
3757,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': ['29', '19', '24'], 'dimanche': []}"
9388,"{'lundi': [], 'mardi': ['10h-18h'], 'mercredi': ['10h-18h'], 'jeudi': ['10h-18h'], 'vendredi': ['10h-18h'], 'samedi': ['10h-18h'], 'dimanche': []}"
3984,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': ['19'], 'dimanche': []}"
6758,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': ['20h'], 'dimanche': ['10h']}"
1316,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': ['29', '19', '24'], 'dimanche': []}"
7217,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': ['9h30', '1'], 'dimanche': []}"
624,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': ['9h30', '1'], 'dimanche': []}"
